Linux 6.8.0-101-generic (node2.xytuang-299835.e6897-pg0.utah.cloudlab.us) 	04/19/26 	_x86_64_	(56 CPU)

11:02:26        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:27           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
11:02:27    enp23s0f0np0     27.00     24.00      8.16      3.00      0.00      0.00      0.00      0.00
11:02:27    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:27    eno12399np0    395.00     85.00     31.55      9.94      0.00      0.00      2.00      0.00
11:02:27    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:27        tunl0     15.00     12.00      1.17      0.90      0.00      0.00      0.00      0.00
11:02:27    califa14f7c081d      3.00      3.00      0.23      0.79      0.00      0.00      0.00      0.00
11:02:27    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:27    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:27    calidf3b84ec6b9     13.00     13.00      2.62      5.19      0.00      0.00      0.00      0.00
11:02:27    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:27    califeb94a1384e     11.00     14.00      1.02      1.30      0.00      0.00      0.00      0.00

11:02:27        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:28           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:28    enp23s0f0np0     22.00     14.00      2.61      3.40      0.00      0.00      0.00      0.00
11:02:28    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:28    eno12399np0    372.00     54.00     25.69      5.88      0.00      0.00      0.00      0.00
11:02:28    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:28        tunl0     22.00     13.00      1.88      2.89      0.00      0.00      0.00      0.00
11:02:28    califa14f7c081d      4.00      5.00      0.75      0.88      0.00      0.00      0.00      0.00
11:02:28    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:28    cali707a268ff9b      1.00      1.00      0.06      0.28      0.00      0.00      0.00      0.00
11:02:28    calidf3b84ec6b9      2.00      2.00      0.13      0.64      0.00      0.00      0.00      0.00
11:02:28    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:28    califeb94a1384e     12.00     20.00      3.01      1.83      0.00      0.00      0.00      0.00

11:02:28        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:29           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:29    enp23s0f0np0     12.00      8.00      1.40      0.83      0.00      0.00      0.00      0.00
11:02:29    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:29    eno12399np0    198.00     19.00     17.59      3.25      0.00      0.00      2.00      0.00
11:02:29    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:29        tunl0     11.00      7.00      0.85      0.53      0.00      0.00      0.00      0.00
11:02:29    califa14f7c081d      7.00      7.00      0.61      1.17      0.00      0.00      0.00      0.00
11:02:29    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:29    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:29    calidf3b84ec6b9     14.00     13.00      2.68      5.52      0.00      0.00      0.00      0.00
11:02:29    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:29    califeb94a1384e      6.00     10.00      0.58      0.92      0.00      0.00      0.00      0.00

